data,estado,regiao,consumo_diario,pred,doubl_days,smth_date,mobility,smth_mob,activity,ma_consumo,ma_pred,dif_baseline,ma_dif_baseline,PET_Phase,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,ma_dif_baseline_acl
2019-09-09,Brasil,NA,64603.095353496996,65105.28904233951,NA,NA,NA,NA,NA,61163.18301478352,63126.077244387656,-0.031094823491169016,-0.03328715632428478,NA,19600.070185914,20009.73668238675,18701.51424250981,19492.25006700164,-0.04056667761668347,-0.045291118635103385
2019-09-10,Brasil,NA,67280.011313678,66547.41075065028,NA,NA,NA,NA,NA,61641.29318553572,63128.40656028057,-0.023556960420422268,-0.032774661101866706,NA,20407.413982054,20667.569015095556,18795.60443538143,19493.420144786895,-0.035797500090925916,-0.04401127775977261
2019-09-11,Brasil,NA,68259.392387002,66869.33585293184,NA,NA,NA,NA,NA,62195.62462282157,63130.73587617349,-0.01481229769261797,-0.030822351056504486,NA,20509.709450665,20740.1034271451,18877.34527279757,19494.59022257215,-0.03166237108487114,-0.04218733561948107
2019-09-12,Brasil,NA,68897.81680371767,66814.40702326749,NA,NA,NA,NA,NA,62900.91090148309,63142.719463283334,-0.003829555708965825,-0.02686205666740436,NA,20632.681442883666,20746.841901203738,18994.542220262523,19498.9528522139,-0.02586860103588112,-0.039380873426355524
2019-09-13,Brasil,NA,67019.12236779,66514.97214622259,NA,NA,NA,NA,NA,63498.33470801881,63145.088128047035,0.005594205193845866,-0.020483129156423682,NA,20461.696254372,20740.514010811643,19110.070274303955,19500.198913426775,-0.02000639279911135,-0.03518269652866268
2019-09-14,Brasil,NA,61117.91559898733,61317.859294820955,NA,NA,NA,NA,NA,64364.805718464566,64175.30038674209,0.0029529325235791728,-0.014600397606269619,NA,18848.258559904334,19151.717916199617,19444.48999547,19834.943908986716,-0.019685153399390726,-0.03129973908142246
2019-09-15,Brasil,NA,56151.823734209,56102.25910224957,NA,NA,NA,NA,NA,64761.31107984014,64181.647601783174,0.009031607939601425,-0.00795927023659266,NA,16329.018132084,16798.98979395662,19541.264001125288,19836.496106685576,-0.01488327898094788,-0.026924282143973084
2019-09-16,Brasil,NA,66957.4689848,65099.35214990439,NA,NA,NA,NA,NA,65097.65017002628,64180.79947429244,0.014285435881818256,-0.0014763760404516205,NA,19920.109676758,20018.231699121116,19586.983928388716,19837.70968050477,-0.012638845721310804,-0.02293459187320556
2019-09-17,Brasil,NA,68428.991215764,66563.7159619007,NA,NA,NA,NA,NA,65261.79015603857,64183.12879018536,0.016805995378931418,0.004289760502313192,NA,20382.357814390998,20675.759559592345,19583.404475865427,19838.879758290026,-0.012877505460853655,-0.019660306926052383
2019-09-18,Brasil,NA,68627.436688084,66885.64106418226,NA,NA,NA,NA,NA,65314.367913336,64185.45810607828,0.017588248811623138,0.008918410002919064,NA,20293.329574583,20748.293971641884,19552.49306499657,19840.049836075283,-0.014493752458012715,-0.017207647122215463
2019-09-19,Brasil,NA,68351.30922658701,66830.71223451791,NA,NA,NA,NA,NA,65236.29540231734,64187.787421971196,0.016335007366015574,0.01179906187077355,NA,20328.705748544002,20755.032445700523,19509.06796580519,19841.21991386054,-0.016740500306804136,-0.015903632732347323
2019-09-20,Brasil,NA,67255.477283157,66095.25209642656,NA,NA,NA,NA,NA,65270.06039022691,64127.82741485748,0.017811814642964028,0.013544434649219003,NA,19990.87495924,20551.67073998389,19441.807780786334,19814.24230374229,-0.01879630405476639,-0.015730762911726613
2019-09-21,Brasil,NA,61063.294058827,61334.16450607137,NA,NA,NA,NA,NA,65262.25731306114,64130.156730750394,0.017653170365135036,0.015644468626584127,NA,18502.12138416,19159.908460696402,19392.359612822856,19815.41238152754,-0.021349682790304494,-0.015968552824714297
2019-09-22,Brasil,NA,54616.148006739,56118.564313499985,NA,NA,NA,NA,NA,65042.87506627972,64132.48604664331,0.014195442524624506,0.016382159281587424,NA,16065.682745158,16807.180338453407,19354.74027183343,19816.582459312798,-0.023305844407208818,-0.017171776457037286
2019-09-23,Brasil,NA,62673.352097004,65137.89946484034,NA,NA,NA,NA,NA,64430.858368023146,64137.99280591987,0.004566179097457549,0.01499369402667875,NA,19437.008914586,20026.117771380323,19285.72587723743,19817.70904106411,-0.026843827544564443,-0.01920105957464495
2019-09-24,Brasil,NA,64186.86610654,66580.02117315111,NA,NA,NA,NA,NA,63824.840495276854,64140.32212181279,-0.004918616185568617,0.011890178088893031,NA,20176.306987123,20683.95010408913,19256.290044770572,19818.879118849367,-0.028386523309672267,-0.02141663355304761
2019-09-25,Brasil,NA,63806.86523790401,66901.94627543267,NA,NA,NA,NA,NA,63136.18743096543,64142.6514377057,-0.015691025927073405,0.007135995983364953,NA,20206.606407197,20756.484516138673,19243.901020858288,19820.04919663462,-0.029068957905218535,-0.023498805759791297
2019-09-26,Brasil,NA,63203.539893872,66847.01744576833,NA,NA,NA,NA,NA,62400.791812006144,64144.980753598626,-0.02719135497588609,9.179442202361437e-4,NA,20312.817776163,20763.22299019731,19241.631310518143,19821.219274419876,-0.02924078261167898,-0.025284560374773418
