data,consumo_diario,pred,ma_consumo,ma_pred,dif_baseline,dif_consumo,ma_dif_baseline,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,dif_consumo_acl,ma_dif_baseline_acl,half_cum_deaths,doubl_days,mobility,smth_date,smth_mob,activity,PET_Phase
2018-10-19,66133.756377264,66122.8687115684,63528.819869384715,63885.022640656396,-0.005575685137896367,-356.20277127168083,-0.015972143445921357,20416.858069464,20093.962477921745,19024.406370927576,19186.756941583502,-0.008461595211229444,-162.35057065592628,-0.016548640308139736,NA,NA,NA,NA,NA,NA,NA
2018-10-20,59440.702029204,60930.68600634246,63589.66693952629,63885.82614904335,-0.004635757684750522,-296.1592095170636,-0.013263421873577009,18826.517273004,18469.77176722449,19265.637869097718,19187.8822544424,0.004052329153589414,77.75561465531791,-0.013157447330302245,NA,NA,NA,NA,NA,NA,NA
2018-10-21,52881.767844343,55810.51329364147,63303.33047514457,63886.629657430305,-0.009130223106360037,-583.2991822857366,-0.011940287834797945,16138.833182543,16147.253045692618,19315.80592755886,19189.007567301298,0.006607864414709539,126.79836025756231,-0.009597937296791526,NA,NA,NA,NA,NA,NA,NA
2018-10-22,63367.388022855,64768.473436529406,63218.97131322814,63865.01198659447,-0.01011572147676007,-646.0406733663331,-0.010860855856216833,19524.241744655,19361.341048911472,19373.93510854243,19197.82461596111,0.009173460853210476,176.1104925813197,-0.0055339349652708935,NA,NA,NA,NA,NA,NA,NA
2018-10-23,66172.412933026,66287.02336328935,63211.120188473,63865.81549498142,-0.010251106972240295,-654.6953065084163,-0.009846745134651521,20235.279614326002,20070.82524287919,19396.141518458717,19198.94992882001,0.010270957024722386,197.19158963870723,-0.0013186838007593841,NA,NA,NA,NA,NA,NA,NA
2018-10-24,65385.50863308,66493.9119352049,62966.283219041856,63842.01239201945,-0.01371712983607433,-875.729172977597,-0.009470465052312294,20094.700752380002,20170.78389639012,19366.181239699003,19201.437824178418,0.008579743716542937,164.74341552058468,0.0023237374386720156,NA,NA,NA,NA,NA,NA,NA
2018-10-25,65130.683893375004,66486.23455626884,62644.602819021,63842.81590040641,-0.01876817406134778,-1198.2130813854092,-0.010313399753632772,20134.827577975,20104.004480241576,19338.751173478144,19202.563137037312,0.0070921801151720395,136.18803644083164,0.005330705723816764,NA,NA,NA,NA,NA,NA,NA
2018-10-26,65676.190933442,66162.135956668,62579.23632704643,63848.425506849206,-0.01987815940217084,-1269.189179802779,-0.01235661036281484,20205.802438841998,20102.767556840412,19308.600369103573,19203.821005454265,0.005456172686651709,104.77936364930792,0.007318958280656929,NA,NA,NA,NA,NA,NA,NA
2018-10-27,60605.818502699,60936.31056505114,62745.681537545715,63849.22901523616,-0.017283646094256023,-1103.5474776904448,-0.014163451564172768,18779.945396099,18477.648957236775,19301.94724383143,19204.946318313163,0.005050830338732583,97.00092551826674,0.007461601307105953,NA,NA,NA,NA,NA,NA,NA
2018-10-28,53535.096355887,55881.42962488475,62839.014182052,63859.359919699484,-0.015978013856238555,-1020.3457376474835,-0.015141707385583984,16002.861718887,16348.629449200716,19282.52274902343,19233.71437595718,0.0025376467650606075,48.80837306624744,0.006880141642870391,NA,NA,NA,NA,NA,NA,NA
2018-10-29,63047.650067061,64774.09799523809,62793.337331224284,63860.16342808644,-0.01670565873298332,-1066.8260968621544,-0.016083126993615877,19407.138218761,19369.218238923757,19265.793673895714,19234.83968881608,0.0016092666006274734,30.95398507963546,0.005799542463929963,NA,NA,NA,NA,NA,NA,NA
2018-10-30,65773.491722796,66292.64792199804,62736.34858690571,63860.96693647339,-0.017610418437390897,-1124.6183495676814,-0.017134457202923108,20097.907547896,20078.70243289147,19246.169092977147,19235.965001674977,5.304694254372787e-4,10.204091302170127,0.004408044235460661,NA,NA,NA,NA,NA,NA,NA
2018-10-31,66769.998656781,66671.78277335608,62934.13287600586,63886.377056209276,-0.014905277526781658,-952.2441802034155,-0.017304192587309867,20143.991157581,20169.123008905823,19253.21057943443,19235.72773203436,9.088737189264896e-4,17.482847400071478,0.0033122056643725972,NA,NA,NA,NA,NA,NA,NA
2018-11-01,66078.923752742,66766.07675850412,63069.59571305828,63926.35451367146,-0.013402278405066076,-856.7588006131773,-0.01653763606498391,19842.477362342,20195.905718962116,19211.446262915426,19248.856480423008,-0.0019435033735967758,-37.410217507582274,0.0020213937374056238,NA,NA,NA,NA,NA,NA,NA
2018-11-02,73076.425644496,76788.13145032567,64126.772100351714,65444.35386990827,-0.020132856260995022,-1317.5817695565565,-0.016574021330530223,22663.579043596,23240.858789470472,19562.557206451715,19697.15522794159,-0.006833373648745903,-134.59802148987364,2.657442609202505e-4,NA,NA,NA,NA,NA,NA,NA
2018-11-03,58640.55068209,61216.15276728641,63846.019554550425,65484.331327370455,-0.025018378283955478,-1638.3117728200305,-0.017678983071915857,17085.57666709,18569.550195957312,19320.504530879003,19710.28397633024,-0.019775435296585105,-389.7794454512368,-0.003280865115553705,NA,NA,NA,NA,NA,NA,NA
2018-11-04,54202.371421428,56095.980054585416,63941.34456391343,65514.98138875626,-0.024019495869274602,-1573.6368248428334,-0.018827766216635292,15952.300943328,16247.03147442544,19313.281562942,19695.769979933768,-0.0194198255453557,-382.48841699176774,-0.006417646874184606,NA,NA,NA,NA,NA,NA,NA
2018-11-05,63310.085631868,65053.940197473356,63978.83535888586,65554.95884621845,-0.024042780516877825,-1576.1234873325884,-0.019875926471477366,19443.768414468,19461.119477644294,19318.514448043,19708.898728322416,-0.01980751363435748,-390.384280279417,-0.009477186907753885,NA,NA,NA,NA,NA,NA,NA
2018-11-06,64887.812850858,66572.49012423331,63852.30980575186,65594.93630368062,-0.02656647900168748,-1742.626497928759,-0.021155363694948307,20180.845788058,20170.60367161201,19330.362768066145,19722.027476711064,-0.01985925174819983,-391.6647086449193,-0.012390004218273472,NA,NA,NA,NA,NA,NA,NA
2018-11-07,65085.943686444,66951.62497559134,63611.730524275146,65634.9137611428,-0.030824802242147845,-2023.183236867655,-0.02342958151142919,20047.921509744,20261.024247626363,19316.63853266086,19735.156225099716,-0.021206707849952156,-418.5176924388543,-0.015549373013827564,NA,NA,NA,NA,NA,NA,NA
